cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-1ms-tick1000-wt16,cand,2,1,50000,1ms,1000,16,512,1024,0-19,0,499926.0,0,49992.6,10.032,13042.26,19457987609,10444649426,279270,5464,121733784
r50000-1ms-tick1000-wt16,base,2,2,50000,1ms,1000,16,512,1024,0-19,0,499918.0,0,49991.8,11.036,16557.25,22563324223,11855884743,365773,2833,114497597
r50000-1ms-tick1000-wt16,base,3,1,50000,1ms,1000,16,512,1024,0-19,0,499914.0,0,49991.4,11.034,20944.83,27937888609,14814155996,503475,785,125754375
r50000-1ms-tick1000-wt16,cand,3,2,50000,1ms,1000,16,512,1024,0-19,0,499921.0,0,49992.1,10.032,21868.60,28125068234,14908669662,491010,334,120057661
r50000-1ms-tick1000-wt16,cand,4,1,50000,1ms,1000,16,512,1024,0-19,0,499943.0,0,49994.3,10.033,22959.83,29379072884,15382029604,511772,337,119655017
r50000-1ms-tick1000-wt16,base,4,2,50000,1ms,1000,16,512,1024,0-19,0,499916.0,0,49991.6,11.035,25124.70,31712249144,16946257563,618331,258,130342322
r50000-1ms-tick1000-wt16,base,5,1,50000,1ms,1000,16,512,1024,0-19,0,499955.0,0,49995.5,11.034,14644.06,20196670174,10786293451,304542,4308,118877110
r50000-1ms-tick1000-wt16,cand,5,2,50000,1ms,1000,16,512,1024,0-19,0,499876.0,0,49987.6,10.033,17252.00,23247963643,12564457636,379398,3500,116758532
r150000-1ms-tick1000-wt16,base,0,warmup,150000,1ms,1000,16,512,1024,0-19,0,1469064.0,30669.0,146906.4,11.034,90454.79,166646159089,85922745031,3713889,551,474915330
r150000-1ms-tick1000-wt16,cand,0,warmup,150000,1ms,1000,16,512,1024,0-19,0,1497557.0,2222.0,149755.7,10.032,81670.86,175117394091,87935485166,3491261,39902,477450872
r150000-1ms-tick1000-wt16,base,1,1,150000,1ms,1000,16,512,1024,0-19,0,1499717.0,0,149971.7,11.029,69604.27,180021431143,87313685405,3702202,25101,512473836
r150000-1ms-tick1000-wt16,cand,1,2,150000,1ms,1000,16,512,1024,0-19,0,1499857.0,20.0,149985.7,10.028,77847.47,195521399383,93390348211,3875247,28025,571208290
r150000-1ms-tick1000-wt16,cand,2,1,150000,1ms,1000,16,512,1024,0-19,0,1498990.0,772.0,149899.0,10.025,82880.84,185689609686,92325586026,3979350,4619,507988757
r150000-1ms-tick1000-wt16,base,2,2,150000,1ms,1000,16,512,1024,0-19,0,1497209.0,2566.0,149720.9,11.033,81143.69,179704517074,89177344614,3910120,5321,510520690
r150000-1ms-tick1000-wt16,base,3,1,150000,1ms,1000,16,512,1024,0-19,0,1499425.0,355.0,149942.5,11.036,80846.06,192325567196,96000493645,4446265,8143,535094494
r150000-1ms-tick1000-wt16,cand,3,2,150000,1ms,1000,16,512,1024,0-19,0,1499426.0,434.0,149942.6,10.031,87921.53,182499034604,92308757964,4038467,3837,481606010
r150000-1ms-tick1000-wt16,cand,4,1,150000,1ms,1000,16,512,1024,0-19,0,1484779.0,14846.0,148477.9,10.028,91565.64,149595600121,77974234533,3073705,159,406318178
r150000-1ms-tick1000-wt16,base,4,2,150000,1ms,1000,16,512,1024,0-19,0,1398774.0,100933.0,139877.4,11.033,94029.92,143719835703,76595991027,3037304,176,404809010
r150000-1ms-tick1000-wt16,base,5,1,150000,1ms,1000,16,512,1024,0-19,0,1487331.0,12457.0,148733.1,11.037,80016.06,156142254322,81446638500,3255280,4089,458744829
r150000-1ms-tick1000-wt16,cand,5,2,150000,1ms,1000,16,512,1024,0-19,0,1419086.0,80329.0,141908.6,10.040,90017.18,126265769045,68127390858,2655912,217,347148893
r250000-1ms-tick1000-wt16,base,0,warmup,250000,1ms,1000,16,512,1024,0-19,0,1259931.0,1239063.0,125993.1,11.037,94865.94,136060489950,74192364607,3025209,143,396692217
r250000-1ms-tick1000-wt16,cand,0,warmup,250000,1ms,1000,16,512,1024,0-19,0,1967305.0,532424.0,196730.5,10.042,91857.26,142207305232,74483869962,2986470,130,403228058
r250000-1ms-tick1000-wt16,base,1,1,250000,1ms,1000,16,512,1024,0-19,0,1503097.0,996550.0,150309.7,11.037,95468.53,159024068029,83266563530,3371463,135,441040786
r250000-1ms-tick1000-wt16,cand,1,2,250000,1ms,1000,16,512,1024,0-19,0,2100158.0,399355.0,210015.8,10.033,93153.20,147381210684,78215008490,2954609,12458,424658383
r250000-1ms-tick1000-wt16,cand,2,1,250000,1ms,1000,16,512,1024,0-19,0,2019890.0,479870.0,201989.0,10.033,93180.54,141303920612,74277804426,2815539,167,407962519
