cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-1ms-tick1000-wt16,base,4,2,50000,1ms,1000,16,512,1024,0-19,0,499917.0,0,49991.7,11.035,24256.92,30739734360,16377884485,585360,162,129265483
r50000-1ms-tick1000-wt16,base,5,1,50000,1ms,1000,16,512,1024,0-19,0,499904.0,0,49990.4,11.037,20773.71,26881599952,13867609659,465478,161,119171253
r50000-1ms-tick1000-wt16,cand,5,2,50000,1ms,1000,16,512,1024,0-19,0,499913.0,0,49991.3,10.033,90427.87,127955786283,69355755189,2931796,148,311229729
r150000-1ms-tick1000-wt16,base,0,warmup,150000,1ms,1000,16,512,1024,0-19,0,1346879.0,152997.0,134687.9,11.038,91869.89,152151362032,79523566985,3459187,2932,422741258
r150000-1ms-tick1000-wt16,cand,0,warmup,150000,1ms,1000,16,512,1024,0-19,0,1457443.0,42391.0,145744.3,10.034,90213.07,139935086988,73715168086,3004932,405,381251447
r150000-1ms-tick1000-wt16,base,1,1,150000,1ms,1000,16,512,1024,0-19,0,1412558.0,87171.0,141255.8,11.035,91959.91,145810059154,76653810690,3052609,380,412413675
r150000-1ms-tick1000-wt16,cand,1,2,150000,1ms,1000,16,512,1024,0-19,0,1469111.0,30426.0,146911.1,10.034,91507.71,139255629759,73838495428,2987047,151,381159782
r150000-1ms-tick1000-wt16,cand,2,1,150000,1ms,1000,16,512,1024,0-19,0,1480402.0,19461.0,148040.2,10.040,87376.92,174056704630,88215354423,3979356,24679,463594853
r150000-1ms-tick1000-wt16,base,2,2,150000,1ms,1000,16,512,1024,0-19,0,1482103.0,17510.0,148210.3,11.035,84139.56,151483749860,78884780279,3042999,17990,445907536
r150000-1ms-tick1000-wt16,base,3,1,150000,1ms,1000,16,512,1024,0-19,0,1465065.0,34637.0,146506.5,11.033,86860.95,167776882202,84612939433,3534927,4445,461336557
r150000-1ms-tick1000-wt16,cand,3,2,150000,1ms,1000,16,512,1024,0-19,0,1480650.0,18635.0,148065.0,10.033,91573.46,149604483022,78112630676,3183897,16145,406921996
r150000-1ms-tick1000-wt16,cand,4,1,150000,1ms,1000,16,512,1024,0-19,0,1459020.0,40859.0,145902.0,10.034,91680.74,131820081460,70942852410,2816701,186,374369029
r150000-1ms-tick1000-wt16,base,4,2,150000,1ms,1000,16,512,1024,0-19,0,1343030.0,156666.0,134303.0,11.036,94643.74,143201125878,75569444712,3079388,174,389495716
r150000-1ms-tick1000-wt16,base,5,1,150000,1ms,1000,16,512,1024,0-19,0,1243748.0,255950.0,124374.8,11.037,92598.84,134066186274,71488943024,2886096,349,360483241
r150000-1ms-tick1000-wt16,cand,5,2,150000,1ms,1000,16,512,1024,0-19,0,1456361.0,43383.0,145636.1,10.033,90496.19,130816275432,69913739842,2820732,139,365095818
r250000-1ms-tick1000-wt16,base,0,warmup,250000,1ms,1000,16,512,1024,0-19,0,1341260.0,1158262.0,134126.0,11.036,93200.39,150953674153,79572726588,3399907,222,421657276
r250000-1ms-tick1000-wt16,cand,0,warmup,250000,1ms,1000,16,512,1024,0-19,0,2193892.0,305686.0,219389.2,10.034,92806.33,157151887018,81402946413,3158201,742,457128887
r250000-1ms-tick1000-wt16,base,1,1,250000,1ms,1000,16,512,1024,0-19,0,1691959.0,807557.0,169195.9,11.036,93176.00,193466619627,98384392878,4109102,15071,522583927
r250000-1ms-tick1000-wt16,cand,1,2,250000,1ms,1000,16,512,1024,0-19,0,1899776.0,599304.0,189977.6,10.035,91296.58,129741162696,69961681361,2803731,166,389722667
r250000-1ms-tick1000-wt16,cand,2,1,250000,1ms,1000,16,512,1024,0-19,0,2106196.0,392789.0,210619.6,10.039,91494.83,151538213401,78421467623,3082452,19326,438379448
r250000-1ms-tick1000-wt16,base,2,2,250000,1ms,1000,16,512,1024,0-19,0,1449255.0,1049528.0,144925.5,11.036,94417.85,153445798027,80436038612,3247754,455,417438687
r250000-1ms-tick1000-wt16,base,3,1,250000,1ms,1000,16,512,1024,0-19,0,1501980.0,997295.0,150198.0,11.037,94784.95,161392860860,83906631873,3381440,9954,449188849
r250000-1ms-tick1000-wt16,cand,3,2,250000,1ms,1000,16,512,1024,0-19,0,2178764.0,320768.0,217876.4,10.035,92236.54,165513693146,84736429787,3368993,39292,468176852
r250000-1ms-tick1000-wt16,cand,4,1,250000,1ms,1000,16,512,1024,0-19,0,1997483.0,502203.0,199748.3,10.035,91353.89,127841547304,68759161167,2586837,140,377220640
r250000-1ms-tick1000-wt16,base,4,2,250000,1ms,1000,16,512,1024,0-19,0,1385465.0,1113759.0,138546.5,11.038,94799.85,150421271300,79499803880,3176770,12124,410673336
r250000-1ms-tick1000-wt16,base,5,1,250000,1ms,1000,16,512,1024,0-19,0,1488210.0,1011296.0,148821.0,11.035,94989.97,161199233280,83190555567,3414435,140,433911720
